name,overall,potential,value_million_euro,position,nationality,age,height,team,formation,league,wage_million_euro,preferred_foot,weak_foot_rating,skill_moves,attacking_work_rate,defensive_work_rate,pace_total,shooting_total,passing_total,dribbling_total,defending_total,physicality_total,finishing,heading_accuracy,dribbling,ball_control,balance,shot_power,strength,long_shots,aggression,positioning,vision,penalties,mentality,goalkeeper_diving,goalkeeper_handling,goalkeeper_kicking,goalkeeper_positioning,goalkeeper_reflexes,passing,speed
Fábio Henrique Tavares,87,88,77.0,Midfielder,Brazil,28,188,Liverpool,4-3-3,eng Premier League,9.62,1,2,3,1,2,66,69,78,77,86,83,63,75,78,81,64,81,81,70,85,70,76,90,85,0,0,0,0,0,83.0,66.0
Hugo Lloris,87,87,9.0,Goalkeeper,France,35,188,Tottenham,3-4-2-1,eng Premier League,4.16,0,1,0,1,1,0,83,74,0,0,84,0,0,0,0,56,56,43,0,0,0,59,0,59,88,83,74,84,88,0.0,0.0
Thomas Müller,87,87,63.0,Midfielder,Germany,32,185,Bayern Munich,4-2-3-1,de Bundesliga,5.98,1,4,3,2,2,69,84,83,80,56,71,88,81,77,84,71,78,66,82,62,96,86,70,84,0,0,0,0,0,82.0,68.5
David De Gea Quintana,87,87,42.0,Goalkeeper,Spain,31,192,Manchester United,4-2-3-1,eng Premier League,7.8,1,3,0,1,1,0,80,76,0,0,84,0,0,0,0,43,57,55,0,0,0,53,0,58,88,80,76,84,89,0.0,0.0
Marco Verratti,87,87,77.5,Midfielder,Italy,29,165,Paris Saint-Germain,4-3-3,fr Ligue 1,8.06,1,4,4,1,2,60,61,87,91,79,66,60,57,91,92,93,60,53,58,89,78,89,64,94,0,0,0,0,0,89.5,60.0
Mike Maignan,87,90,80.0,Goalkeeper,France,26,191,AC Milan,4-2-3-1,it Serie A,4.68,1,4,0,1,1,0,82,85,0,0,85,0,0,0,0,56,64,78,0,0,0,61,0,66,85,82,85,85,89,0.0,0.0
Trent Alexander-Arnold,87,90,100.5,Full Back,England,23,180,Liverpool,4-3-3,eng Premier League,7.8,1,4,3,2,1,76,69,89,80,80,73,62,69,78,86,73,82,66,75,71,78,90,55,82,0,0,0,0,0,89.0,76.0
Andrew Robertson,87,87,72.0,Full Back,Scotland,28,178,Liverpool,4-3-3,eng Premier League,9.62,0,2,3,2,2,80,61,81,81,82,76,55,67,81,83,74,76,65,65,85,77,80,55,83,0,0,0,0,0,79.0,80.0
Kalidou Koulibaly,87,87,54.5,Defender,Senegal,31,187,Chelsea,3-4-3,eng Premier League,9.1,1,4,2,1,2,82,33,59,68,88,85,25,84,70,72,34,67,94,20,83,35,60,33,82,0,0,0,0,0,69.0,81.0
Leon Goretzka,87,88,91.0,Midfielder,Germany,27,189,Bayern Munich,4-2-3-1,de Bundesliga,5.98,1,4,3,2,1,78,82,82,83,81,86,82,86,84,86,73,85,88,86,82,85,84,60,82,0,0,0,0,0,85.5,78.0
Thiago Alcântara,86,86,55.5,Midfielder,Spain,31,174,Liverpool,4-3-3,eng Premier League,9.36,1,3,5,1,1,61,72,87,90,72,69,68,54,89,92,90,75,60,73,80,75,88,75,90,0,0,0,0,0,90.0,62.0
Ciro Immobile,86,86,55.0,Forward,Italy,32,185,Lazio,4-3-3,it Serie A,5.2,1,4,3,2,1,85,87,68,80,39,75,91,81,79,81,84,86,74,80,73,90,71,88,76,0,0,0,0,0,68.0,85.0
Romelu Lukaku,86,86,68.0,Forward,Belgium,29,191,Inter,3-5-2,it Serie A,10.4,0,4,3,1,0,80,85,75,77,38,82,88,87,82,78,52,87,95,75,71,86,75,88,82,0,0,0,0,0,74.0,79.0
David Alaba,86,86,55.5,Defender,Austria,30,180,Real Madrid,4-3-3,es La Liga,11.44,0,4,3,1,1,79,71,83,80,85,77,63,77,77,85,78,82,78,78,78,73,78,79,85,0,0,0,0,0,84.5,79.0
Raheem Sterling,86,86,72.5,Winger,England,27,170,Chelsea,3-4-3,eng Premier League,10.14,1,3,4,2,1,90,80,78,86,45,67,82,46,86,84,93,78,65,80,59,91,80,70,77,0,0,0,0,0,75.0,90.0
Riyad Mahrez,86,86,56.5,Winger,Algeria,31,179,Manchester City,4-3-3,eng Premier League,11.44,0,4,5,1,1,80,83,81,90,38,60,84,56,91,90,88,84,57,83,48,83,83,80,83,0,0,0,0,0,79.0,80.5
Paulo Dybala,86,86,69.5,Forward,Argentina,28,177,Roma,3-4-2-1,it Serie A,6.76,0,3,4,2,0,80,85,85,90,40,59,83,58,90,93,90,84,60,89,43,82,91,84,79,0,0,0,0,0,82.5,80.0
Thiago Emiliano da Silva,86,86,12.0,Defender,Brazil,37,183,Chelsea,3-4-3,eng Premier League,5.98,1,3,2,1,2,49,54,73,72,87,76,40,82,67,79,66,71,80,65,76,59,71,60,86,0,0,0,0,0,81.5,48.5
Wojciech Szczęsny,86,86,33.5,Goalkeeper,Poland,32,195,Juventus,3-5-2,it Serie A,6.5,1,3,0,1,1,0,81,73,0,0,86,0,0,0,0,51,55,65,0,0,0,48,0,65,86,81,73,86,87,0.0,0.0
Kevin Trapp,86,86,36.0,Goalkeeper,Germany,31,189,Eintracht Frankfurt,3-4-2-1,de Bundesliga,2.236,1,4,0,1,1,0,82,79,0,0,85,0,0,0,0,37,59,75,0,0,0,46,0,64,84,82,79,85,87,0.0,0.0
Bruno Miguel Borges Fernandes,86,86,72.5,Midfielder,Portugal,27,179,Manchester United,4-2-3-1,eng Premier League,9.88,1,3,4,2,2,72,86,88,81,67,76,83,64,79,84,79,88,66,88,80,86,91,90,79,0,0,0,0,0,88.0,72.0
Daniel Parejo Muñoz,86,86,42.0,Midfielder,Spain,33,182,Villarreal,4-4-2,es La Liga,3.328,1,4,3,1,1,50,83,90,80,71,68,83,61,81,86,72,81,70,88,58,81,90,88,85,0,0,0,0,0,91.0,50.5
Aymeric Laporte,86,87,64.5,Defender,Spain,28,191,Manchester City,4-3-3,eng Premier League,10.14,0,3,2,1,1,61,50,72,69,86,79,45,84,63,78,55,68,84,47,81,54,65,44,84,0,0,0,0,0,82.0,60.0
Kingsley Coman,86,87,80.0,Midfielder,France,26,179,Bayern Munich,4-2-3-1,de Bundesliga,5.46,1,3,5,1,1,92,77,79,87,30,61,76,61,88,87,84,83,66,73,35,84,81,70,78,0,0,0,0,0,77.0,92.0
Marcelo Brozović,86,86,58.0,Midfielder,Croatia,29,181,Inter,3-5-2,it Serie A,5.72,1,4,3,1,1,69,74,81,81,81,78,69,70,79,84,84,80,68,84,86,67,83,69,82,0,0,0,0,0,84.5,69.0
Nicolò Barella,86,89,89.5,Midfielder,Italy,25,172,Inter,3-5-2,it Serie A,5.72,1,3,3,2,2,79,76,83,84,77,81,73,53,80,87,90,77,73,79,84,81,86,73,86,0,0,0,0,0,85.5,79.0
Lautaro Martínez,86,90,98.5,Forward,Argentina,24,174,Inter,3-5-2,it Serie A,5.72,1,4,4,2,1,83,83,72,85,48,84,88,84,84,86,89,80,84,76,90,86,80,74,86,0,0,0,0,0,74.5,83.0
Milan Škriniar,86,87,68.5,Defender,Slovakia,27,188,Inter,3-5-2,it Serie A,5.46,1,3,2,0,2,78,41,57,69,88,86,42,81,67,72,56,50,89,30,87,30,46,56,87,0,0,0,0,0,72.5,78.0
Christopher Nkunku,86,89,94.0,Forward,France,24,175,Chelsea,3-4-3,eng Premier League,4.68,1,3,5,2,1,88,81,83,88,65,66,86,61,89,88,90,79,64,78,59,86,85,67,81,0,0,0,0,0,82.5,88.0
Édouard Mendy,86,87,51.0,Goalkeeper,Senegal,30,197,Chelsea,3-4-3,eng Premier League,6.76,1,2,0,1,1,0,82,81,0,0,85,0,0,0,0,33,61,72,0,0,0,52,0,58,84,82,81,85,88,0.0,0.0
Vinícius José de Oliveira Júnior,86,92,109.0,Winger,Brazil,21,176,Real Madrid,4-3-3,es La Liga,10.4,1,4,5,2,1,95,79,74,90,29,67,84,50,92,89,83,76,62,76,58,82,75,65,79,0,0,0,0,0,74.0,95.0
Sergej Milinković-Savić,86,87,77.5,Midfielder,Serbia,27,191,Lazio,4-3-3,it Serie A,4.68,1,5,4,2,1,68,80,82,82,79,86,82,86,85,87,63,83,87,81,79,82,83,59,84,0,0,0,0,0,86.0,68.0
Niklas Süle,85,87,59.0,Defender,Germany,26,195,Borussia Dortmund,4-2-3-1,de Bundesliga,3.744,1,3,3,1,1,71,48,66,59,85,83,30,84,57,64,44,78,94,62,86,42,66,32,82,0,0,0,0,0,78.0,70.0
Nabil Fekir,85,85,54.5,Midfielder,France,28,173,Real Betis,4-2-3-1,es La Liga,2.496,0,4,4,2,1,83,82,82,87,38,80,83,49,89,86,91,84,81,83,79,82,87,74,89,0,0,0,0,0,80.0,83.5
Serge Gnabry,85,85,59.0,Midfielder,Germany,26,176,Bayern Munich,4-2-3-1,de Bundesliga,5.2,1,4,4,2,1,82,84,79,85,43,69,86,42,87,82,88,87,69,82,63,86,82,68,82,0,0,0,0,0,78.5,82.0
İlkay Gündoğan,85,85,44.0,Midfielder,Germany,31,180,Manchester City,4-3-3,eng Premier League,9.62,1,4,4,2,1,64,80,85,85,72,72,81,50,85,90,77,79,73,81,70,83,86,80,87,0,0,0,0,0,86.5,64.5
Kyle Walker,85,85,37.5,Full Back,England,32,183,Manchester City,4-3-3,eng Premier League,8.84,1,2,3,2,2,91,63,77,78,80,82,51,74,79,81,69,86,80,69,84,68,69,63,75,0,0,0,0,0,80.5,90.5
Pierre-Emerick Aubameyang,85,85,34.5,Forward,Gabon,33,187,Chelsea,3-4-3,eng Premier League,9.36,1,4,4,2,0,87,84,74,79,36,68,87,76,78,81,67,82,74,79,43,88,74,82,83,0,0,0,0,0,71.0,87.0
Iago Aspas Juncal,85,85,26.0,Forward,Spain,34,176,Celta Vigo,3-4-3,es La Liga,2.6,0,4,3,2,2,82,85,79,86,35,63,90,76,87,86,72,79,60,80,63,86,81,82,85,0,0,0,0,0,76.0,81.5
Paul Pogba,85,85,52.5,Midfielder,France,29,191,Juventus,3-5-2,it Serie A,8.58,1,4,5,1,0,67,80,85,85,62,80,74,74,89,87,65,90,88,84,79,77,90,80,85,0,0,0,0,0,89.5,66.0
Luiz Frello Filho Jorge,85,85,51.5,Midfielder,Italy,30,180,Chelsea,3-4-3,eng Premier League,8.58,1,3,3,1,1,54,67,86,81,73,73,64,56,79,87,72,71,66,62,79,69,88,89,84,0,0,0,0,0,90.5,55.0
Marcos Acuña,85,85,46.5,Full Back,Argentina,30,172,Sevilla,4-3-3,es La Liga,2.392,0,3,3,2,2,76,74,83,87,80,83,66,60,87,88,90,82,80,81,84,81,82,76,87,0,0,0,0,0,81.0,76.5
Gerard Moreno Balagueró,85,85,53.0,Forward,Spain,30,180,Villarreal,4-4-2,es La Liga,3.328,0,4,3,2,1,78,86,77,83,46,72,89,82,85,84,72,83,74,82,61,85,78,85,80,0,0,0,0,0,77.0,78.0
Yannick Carrasco,85,85,54.5,Midfielder,Belgium,28,181,Atletico Madrid,5-3-2,es La Liga,4.68,1,4,4,2,2,89,82,80,87,53,67,81,53,90,86,71,85,61,82,65,82,80,81,84,0,0,0,0,0,77.0,89.0
Filip Kostić,85,85,53.0,Midfielder,Serbia,29,184,Juventus,3-5-2,it Serie A,8.58,0,2,3,2,2,84,78,82,82,68,80,76,59,84,82,79,86,77,78,80,79,81,66,82,0,0,0,0,0,78.5,84.5
Phil Foden,85,92,109.5,Winger,England,22,171,Manchester City,4-3-3,eng Premier League,9.36,0,3,4,2,2,82,78,81,88,56,60,79,47,87,91,91,82,47,77,64,82,85,64,84,0,0,0,0,0,83.0,82.0
Matthijs de Ligt,85,89,71.0,Defender,Netherlands,22,189,Bayern Munich,4-2-3-1,de Bundesliga,4.004,1,3,2,1,2,75,59,61,69,84,87,50,85,65,73,62,82,93,66,83,44,45,40,82,0,0,0,0,0,71.0,74.0
Patrik Schick,85,87,67.5,Forward,Czech Republic,26,191,Bayer Leverkusen,4-2-3-1,de Bundesliga,4.94,0,3,4,2,1,78,83,71,83,36,76,87,86,83,85,67,82,83,80,65,86,74,67,84,0,0,0,0,0,71.0,78.0
Theo Hernández,85,90,76.0,Full Back,France,24,184,AC Milan,4-2-3-1,it Serie A,4.264,0,3,3,2,1,93,72,76,81,78,83,69,74,83,79,76,83,81,72,82,80,73,50,80,0,0,0,0,0,73.5,93.0
Diogo José Teixeira da Silva,85,89,76.0,Forward,Portugal,25,178,Liverpool,4-3-3,eng Premier League,8.84,1,5,4,2,2,85,83,75,85,57,77,86,84,85,84,85,85,71,75,85,89,77,69,80,0,0,0,0,0,74.5,85.0
Péter Gulácsi,85,85,26.5,Goalkeeper,Hungary,32,191,RB Leipzig,3-4-3,de Bundesliga,3.38,1,2,0,1,1,0,84,76,0,0,83,0,0,0,0,42,57,74,0,0,0,44,0,45,85,84,76,83,85,0.0,0.0
Yann Sommer,85,85,17.5,Goalkeeper,Switzerland,33,183,Borussia M.Gladbach,4-2-3-1,de Bundesliga,2.08,1,4,0,1,1,0,81,82,0,0,86,0,0,0,0,58,62,68,0,0,0,64,0,57,78,81,82,86,90,0.0,0.0
Marco Reus,85,85,33.5,Midfielder,Germany,33,180,Borussia Dortmund,4-2-3-1,de Bundesliga,4.056,1,4,4,2,1,70,84,84,85,53,65,84,44,86,86,81,86,66,81,51,84,86,79,86,0,0,0,0,0,82.0,70.5
Lucas Hernández,84,86,46.0,Defender,France,26,184,Paris Saint-Germain,4-3-3,fr Ligue 1,4.264,0,2,2,1,1,77,54,70,71,84,80,53,82,65,76,72,62,78,51,90,62,63,42,77,0,0,0,0,0,70.0,77.0
Sergio Ramos García,84,84,7.5,Defender,Spain,36,184,Paris Saint-Germain,4-3-3,fr Ligue 1,3.9,1,3,3,2,1,61,69,73,70,83,77,65,88,63,78,65,79,81,64,90,69,71,90,86,0,0,0,0,0,79.0,61.0
Alejandro Gómez,84,84,20.0,Midfielder,Argentina,34,167,Sevilla,4-3-3,es La Liga,2.444,1,4,4,2,1,86,78,83,85,39,54,77,38,84,85,93,79,44,82,56,78,85,72,85,0,0,0,0,0,80.5,86.5
Samir Handanovič,84,84,4.7,Goalkeeper,Slovenia,37,193,Inter,3-5-2,it Serie A,2.392,1,3,0,1,1,0,80,65,0,0,90,0,0,0,0,36,49,69,0,0,0,41,0,64,80,80,65,90,85,0.0,0.0
Domenico Berardi,84,84,45.0,Midfielder,Italy,27,183,Sassuolo,4-2-3-1,it Serie A,2.964,0,3,4,1,1,82,81,81,86,36,71,82,62,85,88,87,83,64,80,85,82,83,76,78,0,0,0,0,0,82.0,82.0
Thomas Partey,84,84,36.0,Midfielder,Ghana,29,185,Arsenal,4-2-3-1,eng Premier League,5.98,1,3,3,1,2,65,71,81,80,80,83,66,68,84,83,50,86,84,78,84,70,85,49,86,0,0,0,0,0,85.0,64.5
Yassine Bounou,84,84,22.5,Goalkeeper,Morocco,31,192,Sevilla,4-3-3,es La Liga,1.768,0,2,0,1,1,0,81,76,0,0,84,0,0,0,0,29,57,69,0,0,0,62,0,57,84,81,76,84,86,0.0,0.0
Hakan Çalhanoğlu,84,84,42.0,Midfielder,Turkey,28,178,Inter,3-5-2,it Serie A,5.2,1,4,4,2,2,67,80,85,86,68,64,75,53,86,88,79,85,55,87,73,79,86,81,83,0,0,0,0,0,85.5,67.0
Mateo Kovačić,84,84,42.0,Midfielder,Croatia,28,176,Manchester City,4-3-3,eng Premier League,8.06,1,4,4,2,2,70,69,83,88,71,71,61,42,89,89,84,79,65,75,77,73,86,59,84,0,0,0,0,0,87.0,71.0
Jack Grealish,84,84,46.0,Winger,England,26,180,Manchester City,4-3-3,eng Premier League,9.62,1,3,4,2,1,76,76,83,87,46,69,76,36,88,87,84,76,70,79,60,81,86,58,88,0,0,0,0,0,82.5,76.5
Daniel Carvajal Ramos,84,84,36.5,Full Back,Spain,30,173,Real Madrid,4-3-3,es La Liga,9.62,1,3,3,2,1,82,54,77,80,78,79,51,70,78,83,82,68,74,47,85,75,72,45,80,0,0,0,0,0,78.0,82.0
Stefan Savić,84,84,29.0,Defender,Montenegro,31,187,Atletico Madrid,5-3-2,es La Liga,3.848,1,3,2,1,2,64,35,58,58,87,80,34,84,47,67,52,43,83,31,86,29,55,37,80,0,0,0,0,0,72.5,64.0
Emiliano Martínez,84,84,29.0,Goalkeeper,Argentina,29,195,Aston Villa,4-3-3,eng Premier League,4.94,1,4,0,1,1,0,83,82,0,0,83,0,0,0,0,49,62,70,0,0,0,66,0,60,85,83,82,83,85,0.0,0.0
Raphaël Varane,84,85,39.0,Defender,France,29,191,Manchester United,4-2-3-1,eng Premier League,8.06,1,4,2,1,2,81,49,64,66,85,80,46,85,61,75,39,52,87,53,78,55,59,43,82,0,0,0,0,0,77.5,80.5
Wissam Ben Yedder,84,84,35.5,Forward,France,31,170,Monaco,4-4-2,fr Ligue 1,4.576,1,5,4,2,0,81,84,78,88,39,68,87,74,87,88,91,84,68,74,62,89,80,85,85,0,0,0,0,0,74.5,81.5
Mats Hummels,84,84,20.0,Defender,Germany,33,191,Borussia Dortmund,4-2-3-1,de Bundesliga,3.432,1,3,3,1,1,53,59,76,72,87,78,57,86,69,78,62,71,87,49,71,57,80,68,89,0,0,0,0,0,83.0,52.5
Stefan de Vrij,84,84,34.5,Defender,Netherlands,30,189,Inter,3-5-2,it Serie A,4.576,1,3,2,1,2,68,41,65,69,87,79,25,84,66,73,59,65,79,60,77,31,70,41,85,0,0,0,0,0,73.0,67.5
Joel Matip,84,84,34.5,Defender,Cameroon,30,194,Liverpool,4-3-3,eng Premier League,7.28,1,2,2,1,1,61,46,69,71,87,78,36,84,74,74,42,66,82,48,84,48,72,42,80,0,0,0,0,0,77.0,60.0
Koen Casteels,84,85,31.5,Goalkeeper,Belgium,30,197,Wolfsburg,4-2-3-1,de Bundesliga,2.86,0,2,0,1,1,0,82,79,0,0,84,0,0,0,0,43,59,72,0,0,0,42,0,40,84,82,79,84,86,0.0,0.0
Sergio Canales Madrazo,84,84,35.0,Midfielder,Spain,31,176,Real Betis,4-2-3-1,es La Liga,2.184,0,3,4,2,1,83,79,85,82,68,71,78,50,82,83,81,78,71,84,68,84,90,80,80,0,0,0,0,0,85.0,83.0
Iker Muniain Goñi,84,84,41.5,Midfielder,Spain,29,170,Athletic Bilbao,4-4-2,es La Liga,2.548,1,3,4,2,1,81,77,82,87,51,61,79,43,87,87,94,73,49,78,66,82,84,64,84,0,0,0,0,0,79.5,81.0
Kieran Trippier,84,84,30.5,Full Back,England,31,173,Newcastle United,4-3-3,eng Premier League,6.24,1,4,3,1,1,70,64,82,77,80,72,54,79,74,82,79,79,64,70,73,76,80,66,78,0,0,0,0,0,81.0,70.0
Leonardo Bonucci,84,84,11.0,Defender,Italy,35,190,Juventus,3-5-2,it Serie A,4.94,1,4,2,1,2,54,59,69,71,85,78,50,83,69,79,53,74,82,65,82,38,71,74,86,0,0,0,0,0,81.0,54.0
Ángel Di María,84,84,20.0,Winger,Argentina,34,180,Juventus,3-5-2,it Serie A,8.32,0,2,5,2,1,79,79,84,87,48,67,76,51,88,87,75,83,61,84,73,82,87,73,86,0,0,0,0,0,81.0,79.0
Eden Hazard,84,84,35.0,Winger,Belgium,31,175,Real Madrid,4-3-3,es La Liga,11.44,1,4,4,1,1,83,80,82,87,35,63,78,61,89,87,89,82,61,77,54,83,84,87,88,0,0,0,0,0,83.0,83.0
Ivan Perišić,84,84,26.5,Midfielder,Croatia,33,186,Tottenham,3-4-2-1,eng Premier League,6.76,1,5,4,2,1,78,81,79,82,74,78,80,80,83,82,75,84,80,78,65,85,76,76,88,0,0,0,0,0,79.0,78.5
Edin Džeko,84,84,14.5,Forward,Bosnia and Herzegovina,36,193,Inter,3-5-2,it Serie A,4.16,1,5,3,1,1,63,84,71,77,45,75,87,85,77,84,55,86,86,77,58,90,74,67,87,0,0,0,0,0,76.0,63.0
Rodrigo Javier De Paul,84,84,42.0,Midfielder,Argentina,28,180,Atletico Madrid,5-3-2,es La Liga,4.42,1,3,4,2,1,78,77,83,82,75,81,76,58,82,85,80,80,80,78,76,78,86,66,81,0,0,0,0,0,85.0,78.0
Jude Bellingham,84,91,81.5,Midfielder,England,19,186,Real Madrid,4-3-3,es La Liga,2.132,1,4,4,2,2,75,75,78,84,77,80,77,67,85,84,79,78,74,74,85,77,84,56,79,0,0,0,0,0,83.0,75.5
Federico Chiesa,84,90,66.5,Winger,Italy,24,175,Juventus,3-5-2,it Serie A,7.28,1,4,4,2,1,91,81,76,86,48,73,80,50,89,82,81,86,70,84,69,84,77,62,81,0,0,0,0,0,75.0,91.0
Moussa Diaby,84,88,61.5,Midfielder,France,22,171,Aston Villa,4-3-3,eng Premier League,3.64,0,3,4,2,0,93,73,75,87,42,59,80,28,88,85,93,73,44,64,67,79,77,50,75,0,0,0,0,0,76.5,93.5
