,player,nation,position,team,formation,team_shots_per_game,team_possession,team_pass,team_aerials_won,league,age,matches,starts,minutes,goals,assists,goals_assists,penalty_goals,yellow_cards,red_cards,expected_goals,expected_assists,progressive_carries,progressive_passes,progressive_runs,goals_90min,assists_90min,goals_assists_90min
33,Julen Agirrezabala,es ESP,Goalkeeper,Athletic Bilbao,4-4-2,10.6,49.4,78.5,17.9,es La Liga,22,4,2,238,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Lucien Agoume,fr FRA,Midfielder,Sevilla,4-3-3,12.1,58.7,86.2,16.6,es La Liga,21,12,9,777,0,0,0,0,3,0,0.9,0.6,7.0,35.0,9.0,0.0,0.0,0.0
36,Felix Agu,de GER,Defender,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,23,24,19,1614,0,0,0,0,2,0,0.9,0.6,32.0,32.0,90.0,0.0,0.0,0.0
37,Nayef Aguerd,ma MAR,Defender,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,27,21,21,1857,1,0,1,0,3,1,1.5,0.3,10.0,68.0,3.0,0.05,0.0,0.05
38,Ruben Aguilar,fr FRA,Defender,Lens,3-4-2-1,11.7,51.1,81.8,17.4,fr Ligue 1,30,25,22,1922,1,3,4,0,3,0,1.4,2.9,36.0,110.0,162.0,0.05,0.14,0.19
39,Brandon Aguilera,cr CRC,Forward,Nott'ham Forest,4-2-3-1,11.1,41.6,78.3,15.2,eng Premier League,20,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,Naouirou Ahamada,fr FRA,Midfielder,Crystal Palace,4-3-3,9.2,42.9,76.1,18.3,eng Premier League,21,20,0,349,0,0,0,0,4,1,0.5,0.0,19.0,25.0,20.0,0.0,0.0,0.0
41,Anel Ahmedhodžić,ba BIH,Defender,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,24,31,29,2649,2,0,2,0,11,1,3.1,0.8,15.0,43.0,21.0,0.07,0.0,0.07
42,Joseph Aidoo,gh GHA,Defender,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,27,6,4,407,0,0,0,0,0,0,0.1,0.1,2.0,12.0,0.0,0.0,0.0,0.0
43,Ola Aina,ng NGA,Defender,Nott'ham Forest,4-2-3-1,11.1,41.6,78.3,15.2,eng Premier League,26,22,20,1692,1,1,2,0,3,0,0.3,0.9,53.0,68.0,38.0,0.05,0.05,0.11
44,Rayan Aït-Nouri,dz ALG,Defender,Wolverhampton Wanderers,3-4-3,12.2,49.7,83.2,15.3,eng Premier League,22,33,29,2329,2,1,3,0,7,0,3.3,2.4,67.0,99.0,99.0,0.08,0.04,0.12
45,Tosin Aiyegun,bj BEN,Midfielder,Lorient,4-3-3,11.2,45.9,78.8,13.7,fr Ligue 1,25,19,10,902,2,0,2,0,0,1,1.8,0.3,17.0,16.0,52.0,0.2,0.0,0.2
46,Kristoffer Ajer,no NOR,Defender,Brentford,4-3-3,7.1,47.3,81.3,16.6,eng Premier League,25,28,21,1832,2,1,3,0,5,0,1.3,2.3,22.0,61.0,31.0,0.1,0.05,0.15
47,Ludovic Ajorque,fr FRA,Forward,Mainz 05,3-5-2,11.1,42.7,71.3,18.3,de Bundesliga,29,26,15,1360,2,0,2,0,4,0,5.3,1.0,5.0,21.0,88.0,0.13,0.0,0.13
48,Manuel Akanji,ch SUI,Defender,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,28,30,28,2511,2,0,2,0,4,1,1.9,0.5,46.0,148.0,36.0,0.07,0.0,0.07
49,Marley Aké,fr FRA,Forward,Udinese,3-5-2,10.9,47.2,82.5,13.1,it Serie A,22,1,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Nathan Aké,nl NED,Defender,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,28,29,24,2042,2,2,4,0,0,0,2.5,1.2,24.0,116.0,18.0,0.09,0.09,0.18
51,Ilias Akhomach,ma MAR,Midfielder,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,19,31,17,1511,2,2,4,0,4,0,3.2,2.6,68.0,45.0,160.0,0.12,0.12,0.24
53,Sergio Akieme,es ESP,Defender,Reims,4-2-3-1,9.6,46.3,80.7,13.4,fr Ligue 1,25,13,8,818,2,0,2,0,2,0,1.4,0.4,20.0,20.0,34.0,0.22,0.0,0.22
54,Ebenezer Akinsanmiro,ng NGA,Midfielder,Inter,3-5-2,14.5,52.0,87.0,11.8,it Serie A,18,1,0,15,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
55,Maghnes Akliouche,fr FRA,Midfielder,Monaco,4-4-2,12.8,54.2,82.7,16.5,fr Ligue 1,21,28,18,1613,7,4,11,0,5,0,5.4,3.5,46.0,93.0,135.0,0.39,0.22,0.61
57,Paul Akouokou,ci CIV,Midfielder,Lyon,4-3-3,16.1,53.6,84.7,14.3,fr Ligue 1,25,8,4,307,0,0,0,0,1,0,0.1,0.0,0.0,13.0,2.0,0.0,0.0,0.0
58,Jean-Daniel Akpa-Akpro,ci CIV,Midfielder,Monza,3-4-2-1,10.1,47.4,82.4,18.1,it Serie A,30,19,8,705,0,0,0,0,5,0,0.5,0.1,11.0,10.0,12.0,0.0,0.0,0.0
59,David Akpan Ankeye,ng NGA,Forward,Genoa,3-5-2,9.0,46.1,79.7,13.7,it Serie A,21,6,0,57,0,0,0,0,0,0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0
60,Kevin Akpoguma,ng NGA,Defender,Hoffenheim,3-5-2,12.6,50.8,80.7,15.7,de Bundesliga,28,17,11,1097,0,0,0,0,7,0,0.3,0.3,10.0,55.0,9.0,0.0,0.0,0.0
61,David Alaba,at AUT,Defender,Real Madrid,4-3-3,14.4,57.7,87.7,11.8,es La Liga,31,14,14,1154,0,1,1,0,2,0,1.0,0.7,9.0,51.0,13.0,0.0,0.08,0.08
62,Luis Alberto,es ESP,Midfielder,Lazio,4-3-3,13.8,52.2,83.8,14.6,it Serie A,30,33,29,2311,5,7,12,0,7,0,4.7,4.7,83.0,212.0,124.0,0.19,0.27,0.47
63,Raúl Albiol,es ESP,Defender,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,37,26,24,2031,0,1,1,0,6,0,0.4,0.8,8.0,62.0,0.0,0.0,0.04,0.04
64,Thiago Alcántara,es ESP,Midfielder,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,32,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Carlos Alcaraz,ar ARG,Midfielder,Juventus,3-5-2,15.7,55.4,88.3,11.4,it Serie A,20,10,3,380,0,1,1,0,0,0,0.4,0.1,6.0,27.0,9.0,0.0,0.24,0.24
66,Rubén Alcaraz,es ESP,Midfielder,Cadiz,4-4-2,8.0,38.5,68.8,18.5,es La Liga,32,36,36,3134,3,1,4,2,14,0,3.3,1.4,27.0,154.0,37.0,0.09,0.03,0.11
67,Omar Alderete,py PAR,Defender,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,26,31,24,2195,0,1,1,0,8,1,1.2,1.0,23.0,98.0,9.0,0.0,0.04,0.04
68,Iván Alejo,es ESP,Midfielder,Cadiz,4-4-2,8.0,38.5,68.8,18.5,es La Liga,28,30,21,1692,0,2,2,0,17,0,0.5,1.3,48.0,31.0,104.0,0.0,0.11,0.11
69,Carles Aleñá,es ESP,Midfielder,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,25,29,10,1020,1,1,2,0,6,0,1.2,1.6,12.0,23.0,45.0,0.09,0.09,0.18
70,Trent Alexander-Arnold,eng ENG,Defender,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,24,28,25,2155,3,4,7,0,6,0,2.6,7.2,45.0,205.0,97.0,0.13,0.17,0.29
71,Aboubacar Ali,fr FRA,Midfielder,Strasbourg,3-5-2,11.3,46.5,78.3,18.3,fr Ligue 1,17,9,1,130,0,1,1,0,0,0,0.2,0.1,3.0,3.0,12.0,0.0,0.69,0.69
73,Mohamed Ali Cho,fr FRA,Forward,Nice,4-4-2,10.8,53.4,85.6,10.5,fr Ligue 1,19,17,11,861,1,2,3,0,2,0,1.1,2.0,48.0,25.0,77.0,0.1,0.21,0.31
74,Faride Alidou,de GER,Forward,FC Koln,4-2-3-1,10.6,47.1,77.3,18.5,de Bundesliga,22,26,14,1282,4,0,4,0,4,0,3.0,0.6,51.0,33.0,95.0,0.28,0.0,0.28
75,Nabil Alioui,fr FRA,Midfielder,Le Havre,3-5-2,7.1,41.7,81.0,12.8,fr Ligue 1,24,18,12,1009,4,1,5,0,1,0,2.4,2.2,22.0,43.0,72.0,0.36,0.09,0.45
76,Alisson,br BRA,Goalkeeper,Liverpool,4-3-3,16.0,59.0,85.7,14.3,eng Premier League,30,28,28,2520,0,0,0,0,1,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
77,Tadeo Allende,ar ARG,Midfielder,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,24,10,2,336,1,0,1,0,1,0,1.2,0.4,9.0,7.0,25.0,0.27,0.0,0.27
78,Jim Allevinah,ga GAB,Midfielder,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,28,29,22,1861,2,1,3,0,1,0,2.6,1.2,87.0,52.0,120.0,0.1,0.05,0.15
79,Domingos André Ribeiro Almeida,pt POR,Forward,Valencia,4-4-2,10.3,47.9,79.4,16.3,es La Liga,23,18,12,965,2,1,3,0,0,0,0.6,1.2,24.0,50.0,33.0,0.19,0.09,0.28
80,Miguel Almirón,py PAR,Forward,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,29,33,23,1937,3,1,4,0,2,0,4.5,2.6,78.0,78.0,162.0,0.14,0.05,0.19
81,Pontus Almqvist,se SWE,Forward,Lecce,4-3-3,9.7,43.7,79.9,16.8,it Serie A,24,30,25,2107,2,1,3,0,5,0,2.3,2.7,72.0,32.0,137.0,0.09,0.04,0.13
82,Marcos Alonso,es ESP,Defender,Barcelona,4-3-3,15.3,62.4,89.7,10.6,es La Liga,32,5,3,252,0,0,0,0,0,0,0.1,0.5,11.0,14.0,33.0,0.0,0.0,0.0
83,Adrià Altimira,es ESP,Defender,Villarreal,4-4-2,10.7,54.3,84.4,13.0,es La Liga,22,11,10,775,0,0,0,0,3,0,0.0,0.1,10.0,29.0,15.0,0.0,0.0,0.0
84,Sergi Altimira,es ESP,Midfielder,Real Betis,4-2-3-1,11.7,52.9,82.0,16.4,es La Liga,21,14,6,568,1,0,1,0,1,0,0.2,0.3,10.0,31.0,8.0,0.16,0.0,0.16
85,Edson Álvarez,mx MEX,Midfielder,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,25,31,28,2377,1,1,2,0,11,0,1.3,0.6,20.0,91.0,26.0,0.04,0.04,0.08
86,Gastón Álvarez,uy URU,Defender,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,23,34,29,2537,2,0,2,0,7,0,0.7,0.6,11.0,63.0,40.0,0.07,0.0,0.07
87,Hugo Álvarez,es ESP,Midfielder,Celta Vigo,3-4-3,9.4,52.0,79.9,16.5,es La Liga,20,12,8,762,1,1,2,0,1,0,1.0,1.5,36.0,34.0,80.0,0.12,0.12,0.24
88,Julián Álvarez,ar ARG,Midfielder,Manchester City,4-3-3,15.8,60.8,89.4,12.8,eng Premier League,23,36,31,2647,11,8,19,2,2,0,13.0,6.4,64.0,103.0,180.0,0.37,0.27,0.65
89,Yeray Álvarez,es ESP,Defender,Athletic Bilbao,4-4-2,10.6,49.4,78.5,17.9,es La Liga,28,19,14,1152,0,0,0,0,1,1,0.3,0.1,13.0,55.0,2.0,0.0,0.0,0.0
91,Skelly Alvero,fr FRA,Midfielder,Werder Bremen,3-5-2,10.6,45.2,76.2,18.3,de Bundesliga,21,6,1,123,1,0,1,0,1,0,0.3,0.0,1.0,9.0,6.0,0.73,0.0,0.73
92,Papa Amadou Diallo,sn SEN,Forward,Metz,3-4-3,11.5,46.9,79.8,16.1,fr Ligue 1,19,16,9,889,2,1,3,0,1,0,2.6,0.9,25.0,30.0,65.0,0.2,0.1,0.3
93,Selim Amallah,ma MAR,Forward,Valencia,4-4-2,10.3,47.9,79.4,16.3,es La Liga,26,20,7,604,0,1,1,0,5,1,0.4,0.3,7.0,21.0,36.0,0.0,0.15,0.15
94,Amath,sn SEN,Forward,Mallorca,4-4-2,8.0,45.7,80.2,18.0,es La Liga,27,15,3,394,0,0,0,0,2,0,1.6,0.4,19.0,13.0,30.0,0.0,0.0,0.0
95,Lorenzo Amatucci,it ITA,Midfielder,Fiorentina,4-3-3,9.8,46.8,81.0,14.2,it Serie A,19,2,0,22,0,0,0,0,0,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
96,Jordan Amavi,fr FRA,Defender,Brest,4-4-2,11.8,49.4,81.3,18.6,fr Ligue 1,29,2,1,91,1,0,1,0,1,0,0.1,0.0,0.0,2.0,1.0,0.99,0.0,0.99
97,Zeki Amdouni,ch SUI,Forward,Burnley,4-4-2,10.1,43.5,71.6,23.4,eng Premier League,22,34,27,1953,5,1,6,1,2,0,5.8,1.4,63.0,49.0,93.0,0.23,0.05,0.28
98,Kelvin Amian,fr FRA,Defender,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,25,12,11,798,0,1,1,0,2,0,0.1,0.6,12.0,28.0,21.0,0.0,0.11,0.11
99,Bruno Amione,ar ARG,Defender,Hellas Verona,3-4-3,10.6,49.6,76.3,20.6,it Serie A,21,10,7,579,0,0,0,0,2,0,0.3,0.0,2.0,17.0,2.0,0.0,0.0,0.0
100,Michael Amir Murillo,pa PAN,Defender,Marseille,4-2-3-1,10.0,52.4,82.0,14.9,fr Ligue 1,27,16,10,997,3,2,5,0,3,0,0.8,1.2,6.0,35.0,52.0,0.27,0.18,0.45
102,Nadiem Amiri,de GER,Midfielder,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,26,8,1,86,0,0,0,0,0,0,0.1,0.0,5.0,6.0,6.0,0.0,0.0,0.0
103,Kofi Amoako,de GER,Midfielder,Wolfsburg,4-2-3-1,14.1,51.0,78.0,16.9,de Bundesliga,18,2,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Sofyan Amrabat,ma MAR,Midfielder,Manchester United,4-2-3-1,13.8,54.5,84.8,14.5,eng Premier League,26,21,10,938,0,0,0,0,6,0,0.1,0.3,6.0,66.0,10.0,0.0,0.0,0.0
105,Joachim Andersen,dk DEN,Defender,Crystal Palace,4-3-3,9.2,42.9,76.1,18.3,eng Premier League,27,38,38,3415,2,3,5,0,7,0,1.7,2.8,21.0,147.0,10.0,0.05,0.08,0.13
106,Elliot Anderson,sct SCO,Midfielder,Newcastle United,4-3-3,10.4,41.6,76.0,17.1,eng Premier League,20,21,10,1027,0,2,2,0,3,0,1.5,1.9,37.0,57.0,70.0,0.0,0.18,0.18
107,Felipe Anderson,br BRA,Forward,Lazio,4-3-3,13.8,52.2,83.8,14.6,it Serie A,30,38,33,2770,5,6,11,0,3,0,4.4,6.3,108.0,126.0,226.0,0.16,0.19,0.36
108,Benjamin André,fr FRA,Midfielder,Lille,4-4-2,12.8,52.6,83.5,15.8,fr Ligue 1,32,30,29,2570,4,0,4,0,8,0,2.6,1.3,19.0,180.0,37.0,0.14,0.0,0.14
109,Komnen Andrić,rs SRB,Forward,Clermont Foot,4-2-3-1,8.9,47.1,78.3,15.6,fr Ligue 1,28,7,1,169,0,0,0,0,0,0,0.1,0.2,0.0,5.0,24.0,0.0,0.0,0.0
110,Robert Andrich,de GER,Midfielder,Bayer Leverkusen,4-2-3-1,13.0,57.3,84.4,13.1,de Bundesliga,28,28,18,1690,4,2,6,0,4,0,1.7,1.8,20.0,97.0,14.0,0.21,0.11,0.32
111,Miguel Ángel Rubio,es ESP,Defender,Granada,4-3-3,9.4,43.4,70.0,18.3,es La Liga,25,19,17,1560,1,0,1,0,5,0,0.8,0.1,7.0,27.0,1.0,0.06,0.0,0.06
112,Angeliño,es ESP,Defender,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,26,16,14,1141,0,1,1,0,2,0,0.2,1.6,12.0,40.0,55.0,0.0,0.08,0.08
113,Fabrizio Angileri,ar ARG,Defender,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,29,11,2,164,0,0,0,0,2,1,0.0,1.3,2.0,7.0,6.0,0.0,0.0,0.0
114,Jaidon Anthony,eng ENG,Forward,Bournemouth,4-2-3-1,13.0,46.0,79.1,15.6,eng Premier League,23,3,2,152,0,0,0,0,1,0,0.1,0.0,2.0,8.0,9.0,0.0,0.0,0.0
115,Waldemar Anton,de GER,Defender,VfB Stuttgart,3-4-2-1,13.4,51.5,81.1,16.3,de Bundesliga,27,33,32,2886,0,3,3,0,7,0,1.7,1.0,38.0,172.0,15.0,0.0,0.09,0.09
116,Michail Antonio,jm JAM,Forward,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,33,26,21,1695,6,2,8,0,6,0,5.8,0.9,48.0,22.0,104.0,0.32,0.11,0.42
117,Antony,br BRA,Forward,Manchester United,4-2-3-1,13.8,54.5,84.8,14.5,eng Premier League,23,29,15,1324,1,1,2,0,5,0,3.4,2.8,53.0,64.0,149.0,0.07,0.07,0.14
118,Christopher Antwi-Adjei,gh GHA,Forward,Bochum,4-4-2,7.0,41.8,73.4,20.4,de Bundesliga,29,25,11,1216,2,2,4,0,5,0,2.2,3.5,50.0,28.0,138.0,0.15,0.15,0.3
119,Houssem Aouar,dz ALG,Midfielder,Roma,3-4-2-1,14.3,51.5,84.5,12.1,it Serie A,25,16,9,756,4,0,4,0,3,0,2.3,0.5,17.0,26.0,59.0,0.48,0.0,0.48
120,Stredair Appuah,fr FRA,Forward,Nantes,4-2-3-1,10.8,45.2,77.0,18.1,fr Ligue 1,19,4,0,84,0,0,0,0,0,0,0.4,0.0,3.0,0.0,2.0,0.0,0.0,0.0
121,Mauro Arambarri,uy URU,Midfielder,Getafe,5-3-2,9.5,44.4,66.5,22.8,es La Liga,27,7,3,339,0,0,0,0,2,0,0.5,0.0,2.0,20.0,6.0,0.0,0.0,0.0
122,Jon Aramburu,ve VEN,Defender,Real Sociedad,4-3-3,11.3,53.7,80.8,17.9,es La Liga,21,11,5,543,0,0,0,0,3,0,0.1,0.0,6.0,26.0,25.0,0.0,0.0,0.0
123,Asaf Arania,il ISR,Midfielder,Darmstadt 98,4-4-2,5.0,45.8,77.3,14.1,de Bundesliga,17,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
124,Julian Araujo,mx MEX,Defender,Las Palmas,4-4-2,7.0,52.1,82.2,13.5,es La Liga,21,25,15,1462,1,0,1,0,5,0,0.7,1.2,23.0,74.0,47.0,0.06,0.0,0.06
125,Ronald Araújo,uy URU,Defender,Barcelona,4-3-3,15.3,62.4,89.7,10.6,es La Liga,24,25,21,1997,1,2,3,0,6,0,2.1,1.4,24.0,101.0,11.0,0.05,0.09,0.14
126,Oliver Arblaster,eng ENG,Midfielder,Sheffield United,4-2-3-1,8.5,43.0,76.9,19.1,eng Premier League,19,12,11,943,0,0,0,0,2,0,0.0,0.7,13.0,43.0,4.0,0.0,0.0,0.0
128,Cameron Archer,eng ENG,Midfielder,Aston Villa,4-3-3,13.7,49.1,78.6,19.4,eng Premier League,22,1,0,6,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
129,Alphonse Areola,fr FRA,Goalkeeper,West Ham,4-2-3-1,12.3,44.5,77.8,19.9,eng Premier League,30,31,31,2699,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,Adu Ares,es ESP,Forward,Athletic Bilbao,4-4-2,10.6,49.4,78.5,17.9,es La Liga,21,12,2,265,0,0,0,0,2,0,0.1,0.0,13.0,3.0,39.0,0.0,0.0,0.0
131,Jesús Areso,es ESP,Defender,Osasuna,4-4-2,9.8,44.6,70.2,26.8,es La Liga,24,37,29,2660,1,6,7,0,3,0,0.2,3.6,78.0,106.0,180.0,0.03,0.2,0.24
